Particle  Iter             zp[i]          uzp[i]         xp[i]          uxp[i]         
11            7          0.0332        47388.2516        -0.0040        -0.0000
12            7          0.0332        47388.2516        -0.0040        -0.0000
13            7          0.0332        47388.2516        -0.0040        -0.0000
14            7          0.0332        47388.2516        -0.0040        -0.0000
15            7          0.0332        47388.2516        -0.0040        -0.0000
16            7          0.0332        47388.2516        -0.0040        -0.0000
17            7          0.0332        47388.2516        -0.0040        -0.0000
18            7          0.0332        47388.2516        -0.0040        -0.0000
19            7          0.0332        47388.2516        -0.0040        -0.0000
20            7          0.0332        47388.2516        -0.0040        -0.0000
21            7          0.0332        47388.2516        -0.0040        -0.0000
22            7          0.0332        47388.2516        -0.0040        -0.0000
23            7          0.0332        47388.2516        -0.0040        -0.0000
24            7          0.0332        47388.2516        -0.0040        -0.0000
25            7          0.0332        47388.2516        -0.0040        -0.0000
26            7          0.0332        47388.2516        -0.0040        -0.0000
27            7          0.0332        47388.2516        -0.0040        -0.0000
28            7          0.0332        47388.2516        -0.0040        -0.0000
29            7          0.0332        47388.2516        -0.0040        -0.0000
30            7          0.0332        47388.2516        -0.0040        -0.0000
31            7          0.0332        47388.2516        -0.0040        -0.0000
32            7          0.0332        47388.2516        -0.0040        -0.0000
33            7          0.0332        47388.2516        -0.0040        -0.0000
34            7          0.0332        47388.2516        -0.0040        -0.0000
35            7          0.0332        47388.2516        -0.0040        -0.0000
36            7          0.0332        47388.2516        -0.0040        -0.0000
37            7          0.0332        47388.2516        -0.0040        -0.0000
38            7          0.0332        47388.2516        -0.0040        -0.0000
39            7          0.0332        47388.2516        -0.0040        -0.0000
40            7          0.0332        47388.2516        -0.0040        -0.0000
41            7          0.0332        47388.2516        -0.0040        -0.0000
42            7          0.0332        47388.2516        -0.0040        -0.0000
43            7          0.0332        47388.2516        -0.0040        -0.0000
44            7          0.0332        47388.2516        -0.0040        -0.0000
45            7          0.0332        47388.2516        -0.0040        -0.0000
46            7          0.0332        47388.2516        -0.0040        -0.0000
47            7          0.0332        47388.2516        -0.0040        -0.0000
48            7          0.0332        47388.2516        -0.0040        -0.0000
49            7          0.0332        47388.2516        -0.0040        -0.0000
0             8          0.0379        47388.2516        -0.0040        -0.0000
1             8          0.0379        47388.2516        -0.0040        -0.0000
2             8          0.0379        47388.2516        -0.0040        -0.0000
3             8          0.0379        47388.2516        -0.0040        -0.0000
4             8          0.0379        47388.2516        -0.0040        -0.0000
5             8          0.0379        47388.2516        -0.0040        -0.0000
6             8          0.0379        47388.2516        -0.0040        -0.0000
7             8          0.0379        47388.2516        -0.0040        -0.0000
8             8          0.0379        47388.2516        -0.0040        -0.0000
9             8          0.0379        47388.2516        -0.0040        -0.0000
10            8          0.0379        47388.2516        -0.0040        -0.0000
11            8          0.0379        47388.2516        -0.0040        -0.0000
12            8          0.0379        47388.2516        -0.0040        -0.0000
13            8          0.0379        47388.2516        -0.0040        -0.0000
14            8          0.0379        47388.2516        -0.0040        -0.0000
15            8          0.0379        47388.2516        -0.0040        -0.0000
16            8          0.0379        47388.2516        -0.0040        -0.0000
17            8          0.0379        47388.2516        -0.0040        -0.0000
18            8          0.0379        47388.2516        -0.0040        -0.0000
19            8          0.0379        47388.2516        -0.0040        -0.0000
20            8          0.0379        47388.2516        -0.0040        -0.0000
21            8          0.0379        47388.2516        -0.0040        -0.0000
22            8          0.0379        47388.2516        -0.0040        -0.0000
23            8          0.0379        47388.2516        -0.0040        -0.0000
24            8          0.0379        47388.2516        -0.0040        -0.0000
25            8          0.0379        47388.2516        -0.0040        -0.0000
26            8          0.0379        47388.2516        -0.0040        -0.0000
27            8          0.0379        47388.2516        -0.0040        -0.0000
28            8          0.0379        47388.2516        -0.0040        -0.0000
29            8          0.0379        47388.2516        -0.0040        -0.0000
30            8          0.0379        47388.2516        -0.0040        -0.0000
31            8          0.0379        47388.2516        -0.0040        -0.0000
32            8          0.0379        47388.2516        -0.0040        -0.0000
33            8          0.0379        47388.2516        -0.0040        -0.0000
34            8          0.0379        47388.2516        -0.0040        -0.0000
35            8          0.0379        47388.2516        -0.0040        -0.0000
36            8          0.0379        47388.2516        -0.0040        -0.0000
37            8          0.0379        47388.2516        -0.0040        -0.0000
38            8          0.0379        47388.2516        -0.0040        -0.0000
39            8          0.0379        47388.2516        -0.0040        -0.0000
40            8          0.0379        47388.2516        -0.0040        -0.0000
41            8          0.0379        47388.2516        -0.0040        -0.0000
42            8          0.0379        47388.2516        -0.0040        -0.0000
43            8          0.0379        47388.2516        -0.0040        -0.0000
44            8          0.0379        47388.2516        -0.0040        -0.0000
45            8          0.0379        47388.2516        -0.0040        -0.0000
46            8          0.0379        47388.2516        -0.0040        -0.0000
47            8          0.0379        47388.2516        -0.0040        -0.0000
48            8          0.0379        47388.2516        -0.0040        -0.0000
49            8          0.0379        47388.2516        -0.0040        -0.0000
0             9          0.0426        47388.2515        -0.0040        -0.0000
1             9          0.0426        47388.2515        -0.0040        -0.0000
2             9          0.0426        47388.2515        -0.0040        -0.0000
3             9          0.0426        47388.2515        -0.0040        -0.0000
4             9          0.0426        47388.2515        -0.0040        -0.0000
5             9          0.0426        47388.2515        -0.0040        -0.0000
6             9          0.0426        47388.2515        -0.0040        -0.0000
7             9          0.0426        47388.2515        -0.0040        -0.0000
8             9          0.0426        47388.2515        -0.0040        -0.0000
9             9          0.0426        47388.2515        -0.0040        -0.0000
10            9          0.0426        47388.2515        -0.0040        -0.0000
11            9          0.0426        47388.2515        -0.0040        -0.0000
12            9          0.0426        47388.2515        -0.0040        -0.0000
13            9          0.0426        47388.2515        -0.0040        -0.0000
14            9          0.0426        47388.2515        -0.0040        -0.0000
15            9          0.0426        47388.2515        -0.0040        -0.0000
16            9          0.0426        47388.2515        -0.0040        -0.0000
17            9          0.0426        47388.2515        -0.0040        -0.0000
18            9          0.0426        47388.2515        -0.0040        -0.0000
19            9          0.0426        47388.2515        -0.0040        -0.0000
20            9          0.0426        47388.2515        -0.0040        -0.0000
21            9          0.0426        47388.2515        -0.0040        -0.0000
22            9          0.0426        47388.2515        -0.0040        -0.0000
23            9          0.0426        47388.2515        -0.0040        -0.0000
24            9          0.0426        47388.2515        -0.0040        -0.0000
25            9          0.0426        47388.2515        -0.0040        -0.0000
26            9          0.0426        47388.2515        -0.0040        -0.0000
27            9          0.0426        47388.2515        -0.0040        -0.0000
28            9          0.0426        47388.2515        -0.0040        -0.0000
29            9          0.0426        47388.2515        -0.0040        -0.0000
30            9          0.0426        47388.2515        -0.0040        -0.0000
31            9          0.0426        47388.2515        -0.0040        -0.0000
32            9          0.0426        47388.2515        -0.0040        -0.0000
33            9          0.0426        47388.2515        -0.0040        -0.0000
34            9          0.0426        47388.2515        -0.0040        -0.0000
35            9          0.0426        47388.2515        -0.0040        -0.0000
36            9          0.0426        47388.2515        -0.0040        -0.0000
37            9          0.0426        47388.2515        -0.0040        -0.0000
38            9          0.0426        47388.2515        -0.0040        -0.0000
39            9          0.0426        47388.2515        -0.0040        -0.0000
40            9          0.0426        47388.2515        -0.0040        -0.0000
41            9          0.0426        47388.2515        -0.0040        -0.0000
42            9          0.0426        47388.2515        -0.0040        -0.0000
43            9          0.0426        47388.2515        -0.0040        -0.0000
44            9          0.0426        47388.2515        -0.0040        -0.0000
45            9          0.0426        47388.2515        -0.0040        -0.0000
46            9          0.0426        47388.2515        -0.0040        -0.0000
47            9          0.0426        47388.2515        -0.0040        -0.0000
48            9          0.0426        47388.2515        -0.0040        -0.0000
49            9          0.0426        47388.2515        -0.0040        -0.0000
0            10          0.0474        47388.2515        -0.0040        -0.0000
1            10          0.0474        47388.2515        -0.0040        -0.0000
2            10          0.0474        47388.2515        -0.0040        -0.0000
3            10          0.0474        47388.2515        -0.0040        -0.0000
4            10          0.0474        47388.2515        -0.0040        -0.0000
5            10          0.0474        47388.2515        -0.0040        -0.0000
6            10          0.0474        47388.2515        -0.0040        -0.0000
7            10          0.0474        47388.2515        -0.0040        -0.0000
8            10          0.0474        47388.2515        -0.0040        -0.0000
9            10          0.0474        47388.2515        -0.0040        -0.0000
10           10          0.0474        47388.2515        -0.0040        -0.0000
11           10          0.0474        47388.2515        -0.0040        -0.0000
12           10          0.0474        47388.2515        -0.0040        -0.0000
13           10          0.0474        47388.2515        -0.0040        -0.0000
14           10          0.0474        47388.2515        -0.0040        -0.0000
